"Phrase","PhraseID","Accentuation","Clitic objects","Cyrillic phrase","Doubled phrase","Evidential","Interrogative","Line","LineID","Miscellaneous","Negation","Phrase","Reflexive","Style","Syntactic cohesion","Tense-mood","Token","TokenID","Verbal phrase","Word order"
"si zbìrəhme","76707","","","","","","","Čokmanovo 1: 7","12716","","","si zbìrəhme","reflexive","","","imperative","si, zbìrəhme","12879, 12709","",""
"si kus’ɛ̀hne","76706","","","","","","","Čokmanovo 1: 6","12710","","","si kus’ɛ̀hne","reflexive","","","imperfect","si, kus'ɛ̀hne","12879, 12706","",""
"hòd’əhme si","76705","","","","","","","Čokmanovo 1: 5","12702","","","hòd’əhme si","reflexive","","","imperfect","hòd'əhme, si","12701, 12879","",""
"vìd’ehme si","76704","","","","","","","Čokmanovo 1: 5","12702","","","vìd’ehme si","reflexive","","","imperfect","vìd'ehme, si","12699, 12879","",""
"də si igràime","76703","","","","","","","Čokmanovo 1: 5","12702","","","də si igràime","reflexive","","","present","də, si, igràime","974, 12879, 12698","",""
"si sme nəuč’èni","76702","","","","","","","Čokmanovo 1: 4","12695","","","si sme nəuč’èni","reflexive","","nonsequential","present","si, sme, nəuč'èni","12879, 12693, 12696","pass.part",""
"kàktu i də è","76701","","","","","","","Černovrŭx: 67","18761","comp.pron","","kàktu i də è","","","","","kàktu, i, də, è","18759, 1604, 974, 28902","",""
"sə srəmùvə","76700","","","","","","","Černovrŭx: 66","18756","","","sə srəmùvə","reflexive","","","present","sə, srəmùvə","19574, 18755","",""
"bəštà mi","76699","","poss.clitic","","","","","Černovrŭx: 66","18756","","","bəštà mi","","","","","bəštà, mi","18652, 13233","",""
"dušlè","76698","","","","","renarrated","","Černovrŭx: 66","18756","","","dušlè","","","","","dušlè","18752","",""
"dušlè","76697","","","","","renarrated","","Černovrŭx: 66","18756","","","dušlè","","","","","dušlè","18752","",""
"də sə rəspulòžət","76696","","","","","","","Černovrŭx: 60","18732","","","də sə rəspulòžət","reflexive","","","present","də, sə, rəspulòžət","974, 19574, 23005","",""
"z’èməd gu","76695","","1.obj.pron.","","","","","Černovrŭx: 59","18729","","","z’èməd gu","","","","present","z'èməd, gu","18728, 11915","",""
"mòe sə nòsi","76694","","","","","","","Černovrŭx: 55","18716","no.compl..","","mòe sə nòsi","reflexive","","","present","mòe, sə, nòsi","28578, 19574, 63070","",""
"si gòtvi","76693","","","","","","","Černovrŭx: 54","18714","","","si gòtvi","reflexive","","","present","si, gòtvi","12879, 18706","",""
"če si gòtv’ət","76692","","","","","","","Černovrŭx: 52","18704","","","če si gòtv’ət","reflexive","","","present","če, si, gòtv'ət","15661, 12879, 18703","",""
"zbìrə sə","76691","","","","","","","Černovrŭx: 50","18697","","","zbìrə sə","reflexive","","","present","zbìrə, sə","18693, 19574","",""
"təkà li e bilò","76690","","","","","","interr.clit","Černovrŭx: 49","18692","","","təkà li e bilò","","","","perfect","təkà, li, e, bilò","22845, 14269, 26185, 23053","predicate",""
"s obrəzùvə","76689","","","","","","","Černovrŭx: 48","18689","","","s obrəzùvə","reflexive","","","present","s, obrəzùvə","18687, 22995","",""
"sə rəspolàgət","76688","","","","","","","Černovrŭx: 46","22993","","","sə rəspolàgət","reflexive","","","present","sə, rəspolàgət","19574, 22989","",""
"tɤ̀rs’ət sə","76687","","","","","","","Černovrŭx: 44","18685","","","tɤ̀rs’ət sə","reflexive","","","present","tɤ̀rs'ət, sə","18682, 19574","",""
"də sə venčàvə","76686","","","","","","","Černovrŭx: 43","18681","","","də sə venčàvə","reflexive","","","present","də, sə, venčàvə","974, 19574, 21993","",""
"ne ì znàm","76685","","1.obj.pron.","","","","","Černovrŭx: 42","18677","","neg-clit","ne ì znàm","","","","present","ne, ì, znàm","7850, 22988, 6884","",""
"sə im vìkəli","76684","","1.obj.pron.","","","","","Černovrŭx: 39","18664","","","sə im vìkəli","","","","perfect","sə, im, vìkəli","16432, 16285, 22985","","aux-obj"
"bìl təkɤ̀f kònnik","76683","","","","","renarrated","","Černovrŭx: 37","18657","","","bìl təkɤ̀f kònnik","","","","imperfect","bìl, təkɤ̀f, kònnik","21904, 24178, 18656","predicate",""
"bəštà mu","76682","","poss.clitic","","","","","Černovrŭx: 36","18654","","","bəštà mu","","","","","bəštà, mu","18652, 31684","",""
"ìmitu si","76681","","poss.clitic","","","","","Černovrŭx: 36","18654","","","ìmitu si","","","","","ìmitu, si","18650, 12879","",""
"e ustànəlu","76680","","","","","","","Černovrŭx: 33","18644","","","e ustànəlu","","","","perfect","e, ustànəlu","26185, 18643","",""
"im vìkət","76679","","1.obj.pron.","","","","","Černovrŭx: 32","18638","","","im vìkət","","","","present","im, vìkət","16285, 18635","",""
"im vìkət","76678","","1.obj.pron.","","","","","Černovrŭx: 32","18638","","","im vìkət","","","","present","im, vìkət","16285, 18635","",""
"ni mògə ti kàzə","76677","","1.obj.pron.","","","","","Černovrŭx: 28","18624","no.compl..","","ni mògə ti kàzə","","","","present","ni, mògə, ti, kàzə","23106, 28773, 17648, 63069","",""
"še si ìdi","76676","","","","","","","Černovrŭx: 24","18610","","","še si ìdi","reflexive","","","future","še, si, ìdi","13272, 12879, 63068","",""
"mu kàzvəmi","76675","","1.obj.pron.","","","","","Černovrŭx: 22","18598","","","mu kàzvəmi","","","","present","mu, kàzvəmi","31684, 22664","",""
"si ìmə","76674","","","","","","","Černovrŭx: 21","18593","","","si ìmə","reflexive","","","present","si, ìmə","12879, 20313","",""
"kətu gi venčèjət","76673","","1.obj.pron.","","","","","Černovrŭx: 21","18593","","","kətu gi venčèjət","","","","present","kətu, gi, venčèjət","13310, 1152, 18591","",""
"də sə zəvɤ̀rnət","76672","","","","","","","Černovrŭx: 20","18584","","","də sə zəvɤ̀rnət","reflexive","","","present","də, sə, zəvɤ̀rnət","974, 19574, 18583","",""
"venčàvət gi","76671","","1.obj.pron.","","","","","Černovrŭx: 19","18580","","","venčàvət gi","","","","present","venčàvət, gi","18578, 1152","",""
"i gi z’èmət","76670","","1.obj.pron.","","","","","Černovrŭx: 18","18575","","","i gi z’èmət","","","","present","i, gi, z'èmət","19483, 1152, 18557","",""
"kəkvò li ni štèš","76669","","","","","","","Černovrŭx: 16","18568","comp.pron","","kəkvò li ni štèš","","","","","kəkvò, li, ni, štèš","22578, 14269, 23106, 21655","",""
"vrɤ̀zvət im","76668","","1.obj.pron.","","","","","Černovrŭx: 16","18568","","","vrɤ̀zvət im","","","","present","vrɤ̀zvət, im","18566, 16285","",""
"də ti kàžə","76667","","1.obj.pron.","","","","","Černovrŭx: 13","18561","","","də ti kàžə","","","","present","də, ti, kàžə","974, 17648, 2120","",""
"vi ub’əsn’àvəm","76666","","1.obj.pron.","","","","","Černovrŭx: 10","18551","","","vi ub’əsn’àvəm","","","","present","vi, ub'əsn'àvəm","13340, 18552","",""
"še zakačìm","76665","","","","","","","Černovrŭx: 6","18546","","","še zakačìm","","","","future","še, zakačìm","13272, 18547","",""
"sə čùdite","76664","","","","","","","Černovrŭx: 4","18541","","","sə čùdite","reflexive","","","present","sə, čùdite","19574, 18542","",""
"še vi kàžə","76663","","1.obj.pron.","","","","","Černovrŭx: 2","18536","","","še vi kàžə","","","","future","še, vi, kàžə","13272, 13340, 2120","",""
"də vi kàžə","76662","","1.obj.pron.","","","","","Černovrŭx: 1","18534","","","də vi kàžə","","","","present","də, vi, kàžə","974, 13340, 2120","",""
"da se pečè","76661","","","","","","","Belica 3: 22","23627","","","da se pečè","reflexive","","","present","da, se, pečè","11415, 12409, 12608","",""
"precàždaš si gu","76660","","refl+obj.pron.","","","","","Belica 3: 20","23621","","","precàždaš si gu","reflexive","","","present","precàždaš, si, gu","23620, 12879, 11923","",""
"precàždaš si gu","76659","","refl+obj.pron.","","","","","Belica 3: 20","23621","","","precàždaš si gu","reflexive","","","present","precàždaš, si, gu","23620, 12879, 11923","",""
"sì gu sìpvaš","76658","","refl+obj.pron.","","","","","Belica 3: 20","23621","","","sì gu sìpvaš","reflexive","","","present","sì, gu, sìpvaš","27023, 11923, 23619","","init.clit"
"go razbṛ̀kvaš","76657","","1.obj.pron.","","","","","Belica 3: 18","23614","","","go razbṛ̀kvaš","","","","present","go, razbṛ̀kvaš","14385, 23609","",""
"mu se kàzva","76656","","refl+obj.pron.","","","","","Belica 3: 17","23607","","","mu se kàzva","reflexive","","","present","mu, se, kàzva","19054, 12409, 2091","",""
"se izbìstri","76655","","","","","","","Belica 3: 17","23607","","","se izbìstri","reflexive","","nonsequential","present","se, izbìstri","12409, 23600","",""
"kato se potsìri","76654","","","","","","","Belica 3: 16","23598","","","kato se potsìri","reflexive","","","present","kato, se, potsìri","12191, 12409, 23597","",""
"šte čèkaš","76653","","","","","","","Belica 3: 16","23598","","","šte čèkaš","","","","future","šte, čèkaš","12260, 23595","",""
"šte go zavìeš","76652","","1.obj.pron.","","","","","Belica 3: 16","23598","","","šte go zavìeš","","","","future","šte, go, zavìeš","12260, 14385, 23594","",""
"sìrište šte go zavìež","76651","","1.obj.pron.","","nom-clt.pron.","","","Belica 3: 15","23593","","","sìrište šte go zavìež","","","","future","sìrište, šte, go, zavìež","23071, 12260, 14385, 23591","",""
"šte tùriš","76650","","","","","","","Belica 3: 14","23589","","","šte tùriš","","","","future","šte, tùriš","12260, 15798","",""
"si ìma","76649","","","","","","","Belica 3: 14","23589","","","si ìma","reflexive","","","present","si, ìma","12879, 15358","",""
"ta si kùpime","76648","","","","","","","Belica 3: 12","23577","","","ta si kùpime","reflexive","","","present","ta, si, kùpime","25969, 12879, 19642","",""
"što nì trèbe","76647","addl.acc","1.obj.pron.","","","","","Belica 3: 12","23577","","","što nì trèbe","","","","present","što, nì, trèbe","14921, 27056, 14281","",""
"imàlo e","76646","","","","","","","Belica 3: 10","23563","","","imàlo e","","","","perfect","imàlo, e","26831, 26185","",""
"imàlo e","76645","","","","","","","Belica 3: 10","23563","","","imàlo e","","","","perfect","imàlo, e","26831, 26185","",""
"imàlo e ","76644","","","","","","","Belica 3: 9","23081","","","imàlo e ","","","","perfect","imàlo, e","26831, 26185","",""
"imàlo e","76643","","","","","","","Belica 3: 9","23081","","","imàlo e","","","","perfect","imàlo, e","26831, 26185","",""
"od magazìna","76642","","","","","","","Belica 3: 7","23074","od+obj","","od magazìna","","","","","od, magazìna","3406, 24644","",""
"sɤm si kupìla","76641","","","","","","","Belica 3: 7","23074","","","sɤm si kupìla","reflexive","","","perfect","sɤm, si, kupìla","11999, 12879, 23072","","aux-obj"
"si go pòtsira","76640","","refl+obj.pron.","","","","","Belica 3: 5","23069","","","si go pòtsira","reflexive","","","present","si, go, pòtsira","12879, 14385, 23068","",""
"ako mì trèbe","76639","addl.acc","1.obj.pron.","","","","","Belica 3: 5","23069","","","ako mì trèbe","","","","present","ako, mì, trèbe","14411, 18447, 14281","",""
"ìzdoa go","76638","","1.obj.pron.","","","","","Belica 3: 5","23069","","","ìzdoa go","","","","present","ìzdoa, go","23065, 14385","",""
"če si ìmam","76637","","","","","","","Belica 3: 2","23059","","","če si ìmam","reflexive","","","present","če, si, ìmam","29418, 12879, 11089","",""
"da si vṛ̀va","76636","","","","","","","Belica 3: 1","23058","","","da si vṛ̀va","reflexive","","","present","da, si, vṛ̀va","11415, 12879, 22325","",""
"sɤm ostàvila","76635","","","","","","","Belica 3: 1","23058","","","sɤm ostàvila","","","","perfect","sɤm, ostàvila","11999, 23056","",""
"ne sè pečè","76634","","","","","","","Belica 2: 165","23249","","neg-clit","ne sè pečè","reflexive","","","present","ne, sè, pečè","7850, 36839, 12608","",""
"dvà trì","76633","","","","","","","Belica 2: 184","23490","approx.num","","dvà trì","","","","","dvà, tri","33118, 5500","",""
"opečè se","76632","","","","","","","Belica 2: 171","23273","","","opečè se","reflexive","","","present","opečè, se","23214, 12409","",""
"svàlim a","76630","","1.obj.pron.","","","","","Belica 2: 168","23262","","","svàlim a","","","","present","svàlim, a","23256, 23477","",""
"sme mesìle","76629","","","","","","","Belica 2: 156","23226","","","sme mesìle","","","","perfect","sme, mesìle","12768, 23224","",""
"se opečè","76628","","","","","","","Belica 2: 152","23216","","","se opečè","reflexive","","","present","se, opečè","12409, 23214","",""
"gi rèdat","76627","","1.obj.pron.","","","","","Belica 2: 149","23162","","","gi rèdat","","","","present","gi, rèdat","1152, 23161","",""
"go razvàlim","76626","","1.obj.pron.","","","","","Belica 2: 143","23137","","","go razvàlim","","","","present","go, razvàlim","12536, 23134","",""
"razbṛ̀kam go","76625","","1.obj.pron.","","","","","Belica 2: 140","23123","","","razbṛ̀kam go","","","","present","razbṛ̀kam, go","23122, 14385","",""
"si sedì","76624","","","","","","","Belica 2: 128","22897","","","si sedì","reflexive","","","present","si, sedì","12879, 19922","",""
"nasèe se","76623","","","","","","","Belica 2: 101","22412","","","nasèe se","reflexive","","","present","nasèe, se","22409, 12409","",""
"e bilò","76622","","","","","","","Belica 2: 186","23494","","","e bilò","","","","perfect","e, bilò","26185, 23053","",""
"trì čèteri ","76620","","","","","","","Belica 2: 183","23488","approx.num","","trì čèteri ","","","","","tri, čèteri","5500, 11861","",""
"napràile sme","76619","","","","","","","Belica 2: 183","23488","","","napràile sme","","","","perfect","napràile, sme","23487, 12768","",""
"napràil si","76618","","","","","renarrated","","Belica 2: 182","23485","","","napràil si","reflexive","","","","napràil, si","23484, 12879","",""
"si a pràvi ","76617","","refl+obj.pron.","","","","","Belica 2: 180","23479","","","si a pràvi ","reflexive","","","present","si, a, pràvi","12879, 23477, 31068","",""
"napràvim a","76616","","1.obj.pron.","","","","","Belica 2: 178","23468","","","napràvim a","","","","present","napràvim, a","54814, 23477","",""
"si a ubìem","76615","","refl+obj.pron.","","","","","Belica 2: 178","23468","","","si a ubìem","reflexive","","","present","si, a, ubìem","12879, 23477, 23466","",""
"takàva si zèmn’a","76614","","clit.noun.phrase","","","","","Belica 2: 176","23462","","","takàva si zèmn’a","","","","","takàva, si, zèmn'a","17331, 12879, 23460","",""
"mu kàzvat ","76613","","1.obj.pron.","","","","","Belica 2: 176","23462","","","mu kàzvat ","","","","present","mu, kàzvat","31684, 22319","",""
"se prài","76612","","","","","","","Belica 2: 174","23277","","","se prài","reflexive","","","present","se, prài","12409, 14792","",""
"mu vìkat","76611","","1.obj.pron.","","","","","Belica 2: 173","23276","","","mu vìkat","","","","present","mu, vìkat","19054, 8187","",""
"zasìpeme a","76609","","1.obj.pron.","","","","","Belica 2: 169","23267","","","zasìpeme a","","","","present","zasìpeme, a","24643, 23477","",""
"ne sè pečè","76607","","","","","","","Belica 2: 165","23249","","neg-clit","ne sè pečè","reflexive","","","present","ne, sè, pečè","7850, 36839, 12608","",""
"sme napràvile","76606","","","","","","","Belica 2: 163","23246","","","sme napràvile","","","","perfect","sme, napràvile","12768, 23244","",""
"zamèsi se","76605","","","","","","","Belica 2: 163","23246","","","zamèsi se","reflexive","","","present","zamèsi, se","25606, 12409","",""
