"Phrase","PhraseID","Accentuation","Clitic objects","Cyrillic phrase","Doubled phrase","Evidential","Interrogative","Line","LineID","Miscellaneous","Negation","Phrase","Reflexive","Style","Syntactic cohesion","Tense-mood","Token","TokenID","Verbal phrase","Word order"
"də sə l’ul’ɛ̀eme","76393","","","","","","","Brŭšljan 4: 59","19677","","","də sə l’ul’ɛ̀eme","reflexive","","","present","də, sə, l'ul'ɛ̀eme","974, 19574, 19675","",""
"mu vìkəme","76392","","1.obj.pron.","","","","","Brŭšljan 4: 58","19674","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"də sə gl’èdət","76391","","","","","","","Brŭšljan 4: 57","19668","","","də sə gl’èdət","reflexive","","","present","də, sə, gl'èdət","974, 19574, 1154","",""
"ud ednɤ̀tə","76390","","","","","","","Brŭšljan 4: 57","19668","od+obj","","ud ednɤ̀tə","","","","","ud, ednɤ̀tə","5983, 15278","",""
"si sədì","76389","","","","","","","Brŭšljan 4: 56","19664","","","si sədì","reflexive","","","present","si, sədì","12879, 21365","",""
"ud ednɤ̀tə","76388","","","","","","","Brŭšljan 4: 56","19664","od+obj","","ud ednɤ̀tə","","","","","ud, ednɤ̀tə","5983, 15278","",""
"gi upìtvəme","76387","","1.obj.pron.","","","","","Brŭšljan 4: 54","19658","","","gi upìtvəme","","","","present","gi, upìtvəme","1152, 19657","",""
"št’àme də kùpime","76386","","","","","","","Brŭšljan 4: 51","19643","","","št’àme də kùpime","","","","fut.in.past","št'àme, də, kùpime","19641, 974, 19642","",""
"št’à də ìdeme","76385","","","","","","","Brŭšljan 4: 50","19639","","","št’à də ìdeme","","","","fut.in.past","št'à, də, ìdeme","18882, 974, 18178","",""
"dvà trì","76384","","","","","","","Brŭšljan 4: 46","19440","approx.num","","dvà trì","","","","","dvà, trì","33118, 18351","",""
"tə upàli","76383","","1.obj.pron.","","","","","Brŭšljan 4: 45","19434","","","tə upàli","","","","present","tə, upàli","19432, 19433","",""
"š’e z’ème","76382","","","","","","","Brŭšljan 4: 45","19434","","","š’e z’ème","","","","future","š'e, z'ème","15245, 16900","",""
"bəštà mi","76381","","poss.clitic","","","","","Brŭšljan 4: 45","19434","","","bəštà mi","","","","","bəštà, mi","18652, 13233","",""
"tàtku ti","76380","","poss.clitic","","","","","Brŭšljan 4: 44","19428","","","tàtku ti","","","","","tàtku, ti","19446, 17648","",""
"se uč’àhne","76379","","","","","","","Brŭšljan 4: 41","19416","","","se uč’àhne","reflexive","","","imperfect","se, uč'àhne","12409, 19415","",""
"se fàštət","76378","","","","","","","Brŭšljan 4: 25","19379","","","se fàštət","reflexive","","","present","se, fàštət","12409, 19378","",""
"də im fɤ̀rl’əd","76377","","1.obj.pron.","","","","","Brŭšljan 4: 19","19362","","","də im fɤ̀rl’əd","","","","present","də, im, fɤ̀rl'əd","974, 16285, 19361","",""
"tə gi berɤ̀d","76376","","1.obj.pron.","","","","","Brŭšljan 4: 19","19362","","","tə gi berɤ̀d","","","","present","tə, gi, berɤ̀d","9032, 1152, 19359","",""
"ne jà puteb’àvət","76375","","1.obj.pron.","","","","","Brŭšljan 4: 18","19357","","neg-clit","ne jà puteb’àvət","","","","present","ne, jà, puteb'àvət","7850, 19355, 19356","",""
"də sə fjàkne","76374","","","","","","","Brŭšljan 4: 15","19100","","","də sə fjàkne","reflexive","","","present","də, sə, fjàkne","974, 19574, 19099","",""
"pèt š’ès","76373","","","","","","","Brŭšljan 4: 15","19100","approx.num","","pèt š’ès","","","","","pèt, š'ès","12998, 19096","",""
"mu vìkəme","76372","","1.obj.pron.","","","","","Brŭšljan 4: 13","19094","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"l’ehùdl’e gu vìkəmi","76371","","1.obj.pron.","","","","","Brŭšljan 4: 11","19087","2nd.accus.","","l’ehùdl’e gu vìkəmi","","","","present","l'ehùdl'e, gu, vìkəmi","19084, 11923, 19085","",""
"sə pupikàvə","76370","","","","","","","Brŭšljan 4: 9","19080","","","sə pupikàvə","reflexive","","","present","sə, pupikàvə","19574, 19079","",""
"də gu rəzvìje","76369","","1.obj.pron.","","","","","Brŭšljan 4: 9","19080","","","də gu rəzvìje","","","","present","də, gu, rəzvìje","974, 11923, 19078","",""
"vi kàzvəm","76368","","1.obj.pron.","","","","","Brŭšljan 4: 7","19073","","","vi kàzvəm","","","","present","vi, kàzvəm","13340, 29761","",""
"krəčònkite mu","76367","","poss.clitic","","","","","Brŭšljan 4: 5","19067","","","krəčònkite mu","","","","","krəčònkite, mu","19065, 19054","",""
"də ne gù ub’ɨ̀və","76366","","1.obj.pron.","","","","","Brŭšljan 4: 4","19063","","neg-clit","də ne gù ub’ɨ̀və","","","","present","də, ne, gù, ub'ɨ̀və","974, 7850, 18733, 35138","",""
"krəčkàtə mu","76365","","poss.clitic","","","","","Brŭšljan 4: 3","19057","","","krəčkàtə mu","","","","","krəčkàtə, mu","19053, 19054","",""
"də gu zəwɨ̀vəme","76364","","1.obj.pron.","","","","","Brŭšljan 4: 2","19052","","","də gu zəwɨ̀vəme","","","","present","də, gu, zəwɨ̀vəme","974, 11923, 19048","",""
" də gu puwɨ̀vəme","76363","","1.obj.pron.","","","","","Brŭšljan 4: 1","19046","",""," də gu puwɨ̀vəme","","","","present","də, gu, puwɨ̀vəme","974, 11923, 19045","",""
"kət sə rudì","76362","","","","","","","Brŭšljan 4: 1","19046","","","kət sə rudì","reflexive","","","present","kət, sə, rudì","17035, 19574, 19042","",""
"svekɤr mì","76361","","poss.clitic","","","","","Belica 2: 18","20949","","","svekɤr mì","","","","","svekɤr, mì","20946, 18447","",""
"mɤžɤ̀ mi","76360","","poss.clitic","","","","","Belica 2: 18","20949","","","mɤžɤ̀ mi","","","","","mɤžɤ̀, mi","20945, 13233","",""
"go ovṛšèm","76359","","1.obj.pron.","","","","","Belica 2: 11","20927","","","go ovṛšèm","","","","present","go, ovṛšèm","12536, 20919","",""
"se vṛšè","76358","","","","","","","Belica 2: 11","20927","","","se vṛšè","reflexive","","","present","se, vṛšè","12409, 20925","",""
"ožɤ̀nem gu","76357","","1.obj.pron.","","","","","Belica 2: 6","20868","","","ožɤ̀nem gu","","","","present","ožɤ̀nem, gu","20865, 11923","",""
"vṛšèeme si","76356","","","","","","","Belica 2: 2","20848","","","vṛšèeme si","reflexive","","","present","vṛšèeme, si","20847, 12879","",""
"kàrame si","76355","","","","","","","Belica 2: 2","20848","","","kàrame si","reflexive","","","present","kàrame, si","24633, 12879","",""
"vṛ̀zvame si","76354","","","","","","","Belica 2: 2","20848","","","vṛ̀zvame si","reflexive","","","present","vṛ̀zvame, si","20845, 12879","",""
"žɤ̀tvata si a žɤ̀nem","76353","","refl+obj.pron.","","nom-clt.pron.","","","Belica 2: 2","20848","","","žɤ̀tvata si a žɤ̀nem","reflexive","","","present","žɤ̀tvata, si, a, žɤ̀nem","20843, 12879, 23477, 12073","",""
"gu vìd’ex","76352","","1.obj.pron.","","","","","Bangejci 2: 79","23928","","","gu vìd’ex","","","","aorist","gu, vìd'ex","11915, 23927","",""
"t’i stànə čəsɤ̀","76351","","1.obj.pron.","","","","","Bangejci 2: 73","23919","","","t’i stànə čəsɤ̀","","","","aorist","t'i, stànə, čəsɤ̀","21991, 21136, 18581","predicate",""
"si təčèxmi","76350","","","","","","","Bangejci 2: 71","23917","","","si təčèxmi","reflexive","","","imperfect","si, təčèxmi","12879, 23912","",""
"si təčèxmi","76349","","","","","","","Bangejci 2: 70","23913","","","si təčèxmi","reflexive","","","imperfect","si, təčèxmi","12879, 23912","",""
"še si kùpiš","76348","","","","","","","Bangejci 2: 64","22453","","","še si kùpiš","reflexive","","","future","še, si, kùpiš","13272, 12879, 27084","",""
"sə uništužìə","76347","","","","","","","Bangejci 2: 63","22446","","","sə uništužìə","reflexive","","","aorist","sə, uništužìə","19574, 22443","",""
"sə uništužì","76346","","","","","","","Bangejci 2: 62","22441","","","sə uništužì","reflexive","","","aorist","sə, uništužì","19574, 22440","",""
"təkàli sni","76345","","","","","","","Bangejci 2: 62","22441","","","təkàli sni","","","","perfect","təkàli, sni","22438, 22439","",""
"təkàli sni","76344","","","","","","","Bangejci 2: 62","22441","","","təkàli sni","","","","perfect","təkàli, sni","22438, 22439","",""
"sə plit’è","76343","","","","","","","Bangejci 2: 58","22431","","","sə plit’è","reflexive","","","present","sə, plit'è","19574, 19820","",""
"t’à šə gi znài drugàrkətə","76342","","1.obj.pron.","","subj.pron-nom","","","Bangejci 2: 54","21710","","","t’à šə gi znài drugàrkətə","","","","future","t’à, šə, gi, znài, drugàrkətə","21789, 18413, 1152, 21709, 21712","",""
"sə plit’è","76341","","","","","","","Bangejci 2: 51","21698","","","sə plit’è","reflexive","","","present","sə, plit'è","19574, 19820","",""
"šə uplit’èš","76340","","","","","","","Bangejci 2: 49","21693","","","šə uplit’èš","","","","future","šə, uplit'èš","18413, 21691","",""
"še si uputrebìš","76339","","","","","","","Bangejci 2: 49","21693","","","še si uputrebìš","reflexive","","","future","še, si, uputrebìš","13272, 12879, 21689","",""
"še s plit’èš","76338","","","","","","","Bangejci 2: 48","21537","","","še s plit’èš","reflexive","","","future","še, s, plit'èš","13272, 17572, 22472","",""
"še si plit’èš","76337","","","","","","","Bangejci 2: 48","21537","","","še si plit’èš","reflexive","","","future","še, si, plit'èš","13272, 12879, 22472","",""
"še si plit’èš","76336","","","","","","","Bangejci 2: 47","21532","","","še si plit’èš","reflexive","","","future","še, si, plit'èš","13272, 12879, 22472","",""
"də si duisɤ̀:ni","76335","","","","","","","Bangejci 2: 45","21525","","","də si duisɤ̀:ni","reflexive","","","present","də, si, duisɤ̀:ni","974, 12879, 21520","",""
"jə m’ètvəmi","76334","","1.obj.pron.","","","","","Bangejci 2: 44","21518","","","jə m’ètvəmi","","","","present","jə, m'ètvəmi","14297, 21516","",""
"sn’èməmi jə","76333","","1.obj.pron.","","","","","Bangejci 2: 44","21518","","","sn’èməmi jə","","","","present","sn'èməmi, jə","21513, 14297","",""
"kət sə upɤ̀ni","76332","","","","","","","Bangejci 2: 43","21512","","","kət sə upɤ̀ni","reflexive","","","present","kət, sə, upɤ̀ni","17035, 19574, 21509","",""
"də sə upɤ̀ni","76331","","","","","","","Bangejci 2: 43","21512","","","də sə upɤ̀ni","reflexive","","","present","də, sə, upɤ̀ni","974, 19574, 21509","",""
"gu putup’àəmi","76330","","1.obj.pron.","","","","","Bangejci 2: 42","21504","","","gu putup’àəmi","","","","present","gu, putup'àəmi","21501, 21502","",""
"gu pràvim","76329","","1.obj.pron.","","","","","Bangejci 2: 42","21504","","","gu pràvim","","","","present","gu, pràvim","21501, 3890","",""
"sə slàgə","76328","","","","","","","Bangejci 2: 41","20103","","","sə slàgə","reflexive","","","present","sə, slàgə","19574, 21679","",""
"pr’èždətə jə mutàimi","76327","","1.obj.pron.","","nom-clt.pron.","","","Bangejci 2: 39","20095","","","pr’èždətə jə mutàimi","","","","present","pr'èždətə, jə, mutàimi","21510, 14297, 20091","",""
"màjkə mi","76326","","poss.clitic","","","","","Bangejci 2: 37","20081","","","màjkə mi","","","","","màjkə, mi","28677, 13233","",""
"mə i ùčilə","76325","","1.obj.pron.","","","","","Bangejci 2: 37","20081","","","mə i ùčilə","","","","perfect","mə, i, ùčilə","13896, 40921, 20079","","obj-aux"
"si gu pridɤ̀","76324","","refl+obj.pron.","","","","","Bangejci 2: 36","20078","","","si gu pridɤ̀","reflexive","","","present","si, gu, pridɤ̀","12879, 11923, 20077","",""
"ni sɤ̀m slàgələ","76323","","","","","","","Bangejci 2: 36","20078","","neg-clit","ni sɤ̀m slàgələ","","","","perfect","ni, sɤ̀m, slàgələ","23106, 15576, 20076","",""
"də ni è l’èku","76322","","","","","","","Bangejci 2: 34","20071","","neg-clit","də ni è l’èku","","","","present","də, ni, è, l'èku","974, 23106, 28902, 23908","predicate",""
"nòsi si jə","76321","","refl+obj.pron.","","","","","Bangejci 2: 25","20035","","","nòsi si jə","reflexive","","","present","nòsi, si, jə","11984, 12879, 14297","",""
"si ìmə","76320","","","","","","","Bangejci 2: 25","20035","","","si ìmə","reflexive","","","present","si, ìmə","12879, 29532","",""
"si ìmə","76319","","","","","","","Bangejci 2: 24","19826","","","si ìmə","reflexive","","","present","si, ìmə","12879, 29532","",""
"šə prid’è","76318","","","","","","","Bangejci 2: 24","19826","","","šə prid’è","","","","future","šə, prid'è","18413, 19823","",""
"si ìmə","76317","","","","","","","Bangejci 2: 24","19826","","","si ìmə","reflexive","","","present","si, ìmə","12879, 29532","",""
"šə plit’è","76316","","","","","","","Bangejci 2: 23","19821","","","šə plit’è","","","","future","šə, plit'è","18413, 19820","",""
"še plit’è","76315","","","","","","","Bangejci 2: 23","19821","","","še plit’è","","","","future","še, plit'è","13272, 19820","",""
"mu vìkət","76314","","1.obj.pron.","","","","","Bangejci 2: 20","19802","","","mu vìkət","","","","present","mu, vìkət","19054, 18635","",""
"sə kàzvə","76313","","","","","","","Bangejci 2: 18","19748","","","sə kàzvə","reflexive","","","present","sə, kàzvə","19574, 18927","",""
"si ustàvət","76312","","","","","","","Bangejci 2: 15","19733","","","si ustàvət","reflexive","","","present","si, ustàvət","12879, 19731","",""
"də se veselìm","76311","","","","","","","Brŭšljan 3: 46","18979","","","də se veselìm","reflexive","","","present","də, se, veselìm","974, 12409, 18977","",""
"šte pòm","76310","","","","","","","Brŭšljan 3: 44","18973","","","šte pòm","","","","future","šte, pòm","12260, 18952","",""
"št’e si puč’ìnem","76309","","","","","","","Brŭšljan 3: 43","18969","","","št’e si puč’ìnem","reflexive","","","future","št'e","22765","",""
"š’e sə nəhrànime","76308","","","","","","","Brŭšljan 3: 43","18969","","","š’e sə nəhrànime","reflexive","","","future","š'e, sə, nəhrànime","15245, 19574, 18967","",""
"š’e dòem","76307","","","","","","","Brŭšljan 3: 42","18966","","","š’e dòem","","","","future","š'e, dòem","15245, 18965","",""
"š’e se premenìme","76306","","","","","","","Brŭšljan 3: 41","18959","","","š’e se premenìme","reflexive","","","future","š'e, se, premenìme","15245, 12409, 18958","",""
"št’à: pòm","76305","","","","","","","Brŭšljan 3: 38","18954","no.compl..","","št’à: pòm","","","","fut.in.past","št'à:, pòm","18813, 18952","",""
"gi pràime","76304","","1.obj.pron.","","","","","Brŭšljan 3: 34","18946","","","gi pràime","","","","present","gi, pràime","1152, 18945","",""
"se kàzvə","76303","","","","","","","Brŭšljan 3: 31","18930","","","se kàzvə","reflexive","","","present","se, kàzvə","12409, 18927","",""
"ìməne si","76302","","","","","","","Brŭšljan 3: 19","18892","","","ìməne si","reflexive","","","imperfect","ìməne, si","18889, 12879","",""
"št’à də ìmə","76301","","","","","","","Brŭšljan 3: 18","18888","","","št’à də ìmə","","","","fut.in.past","št'à, də, ìmə","18882, 974, 20313","",""
"št’à: ìmə","76300","","","","","","","Brŭšljan 3: 18","18888","no.compl..","","št’à: ìmə","","","","fut.in.past","št'à:, ìmə","18813, 20313","",""
"dv’ɛ̀ trì","76299","","","","","","","Brŭšljan 3: 18","18888","approx.num","","dv’ɛ̀ trì","","","","","dv'ɛ̀, trì","18886, 18351","",""
"ni beše ràbutətə","76298","","1.obj.pron.","","","","","Brŭšljan 3: 16","18884","","","ni beše ràbutətə","","","","imperfect","ni, bèše, ràbutətə","3056, 17945, 23032","predicate",""
" š’e gu vərš’èm","76297","","1.obj.pron.","","","","","Brŭšljan 3: 15","18880","",""," š’e gu vərš’èm","","","","future","š'e, gu, vərš'èm","15245, 11923, 18879","",""
"št’à ž’èneme","76296","","","","","","","Brŭšljan 3: 15","18880","no.compl..","","št’à ž’èneme","","","","fut.in.past","št'à, ž'èneme","18882, 18875","",""
"št’à dòjdeme","76295","","","","","","","Brŭšljan 3: 14","18874","no.compl..","","št’à dòjdeme","","","","fut.in.past","št'à, dòjdeme","18882, 18871","",""
"št’à də ìdeme","76294","","","","","","","Brŭšljan 3: 12","18865","","","št’à də ìdeme","","","","fut.in.past","št'à, də, ìdeme","18882, 974, 18178","",""
"št’à zèmeme","76293","","","","","","","Brŭšljan 3: 11","18860","no.compl..","","št’à zèmeme","","","","fut.in.past","št'à, zèmeme","18882, 14354","",""
"dvàes trìese","76292","","","","","","","Brŭšljan 3: 9","18853","approx.num","","dvàes trìese","","","","","dvàes, trìese","14401, 12046","",""
"š’e z’èmeme","76291","","","","","","","Brŭšljan 3: 9","18853","","","š’e z’èmeme","","","","future","š'e, z'èmeme","15245, 22509","",""
"št’à pòjdeme","76290","","","","","","","Brŭšljan 3: 8","18849","no.compl..","","št’à pòjdeme","","","","fut.in.past","št'à, pòjdeme","18882, 18846","",""
"ni beə nùž’ni","76289","","1.obj.pron.","","","","","Brŭšljan 3: 7","18843","","","ni beə nùž’ni","","","","imperfect","ni, beə, nùž'ni","3056, 18841, 18842","predicate",""
"št’à pòčneme","76288","","","","","","","Brŭšljan 3: 6","18838","no.compl..","","št’à pòčneme","","","","fut.in.past","št'à, pòčneme","18882, 18818","",""
"št’à sedìme","76287","","","","","","","Brŭšljan 3: 6","18838","no.compl..","","št’à sedìme","","","","fut.in.past","št'à, sedìme","18882, 18835","",""
"də se gr’ɛ̀em","76286","","","","","","","Brŭšljan 3: 5","18834","","","də se gr’ɛ̀em","reflexive","","","present","də, se, gr'ɛ̀em","974, 12409, 18833","",""
"št’à: nòsime","76285","","","","","","","Brŭšljan 3: 5","18834","no.compl..","","št’à: nòsime","","","","fut.in.past","št'à:, nòsime","18813, 18831","",""
"št’à ə dòjde","76284","","","","","","","Brŭšljan 3: 4","18830","","","št’à ə dòjde","","","","fut.in.past","št'à, ə, dòjde","18882, 28499, 873","",""
"št’à zəs’ɛ̀eme","76283","","","","","","","Brŭšljan 3: 4","18830","no.compl..","","št’à zəs’ɛ̀eme","","","","fut.in.past","št'à, zəs'ɛ̀eme","18882, 18826","",""
"št’à pòčneme","76282","","","","","","","Brŭšljan 3: 3","18824","no.compl..","","št’à pòčneme","","","","fut.in.past","št'à, pòčneme","18882, 18818","",""
"št’à: uvərš’ème","76281","","","","","","","Brŭšljan 3: 2","18816","no.compl..","","št’à: uvərš’ème","","","","fut.in.past","št'à:, uvərš'ème","18813, 18814","",""
"də mu vərzè̝","76280","","1.obj.pron.","","","","","Brŭšljan 2: 8","18192","","","də mu vərzè̝","","","","present","də, mu, vərzè̝","974, 31684, 22753","",""
"də gu č’èš’e","76279","","1.obj.pron.","","","","","Brŭšljan 2: 8","18192","","","də gu č’èš’e","","","","present","də, gu, č'èš'e","974, 11915, 18186","",""
"nɨ beše stràh","76278","","1.obj.pron.","","","","","Brŭšljan 2: 6","18180","","","nɨ beše stràh","","","","imperfect","nɨ, bèše, stràh","21880, 17945, 18177","non-vbl.pred.",""
"tərkàl’ət sə","76277","","","","","","","Brŭšljan 2: 5","18172","","","tərkàl’ət sə","reflexive","","","present","tərkàl'ət, sə","20683, 19574","",""
"vàl’ət sə","76276","","","","","","","Brŭšljan 2: 5","18172","","","vàl’ət sə","reflexive","","","present","vàl'ət, sə","18168, 19574","",""
"štèš’e də dòjde","76274","","","","","","","Brŭšljan 2: 1","18149","","","štèš’e də dòjde","","","","fut.in.past","štèš'e, də, dòjde","63178, 974, 873","",""
"fc’ɛ̀ti gi brəst’àxə","76273","","1.obj.pron.","","nom-clt.pron.","","","Brŭšljan 1: 98","16428","","","fc’ɛ̀ti gi brəst’àxə","","","","imperfect","fc'ɛ̀ti, gi, brəst'àxə","16425, 1152, 16426","",""
"š’e se pòčne","76272","","","","","","","Brŭšljan 1: 98","16428","","","š’e se pòčne","reflexive","","","future","š'e, se, pòčne","15245, 12409, 26458","",""
"ne sɤ̀ bilì","76271","","","","","","","Brŭšljan 1: 96","16417","","neg-clit","ne sɤ̀ bilì","","","","perfect","ne, sɤ̀, bilì","7850, 16413, 23011","",""
"sə gi brəstìli","76270","","1.obj.pron.","","","","","Brŭšljan 1: 95","16410","","","sə gi brəstìli","","","","perfect","sə, gi, brəstìli","16432, 1152, 16408","","aux-obj"
"n’èməš’e gu tuvà zəjrè","76269","","1.obj.pron.","","clt.pron-nom","","","Brŭšljan 1: 90","16168","","","n’èməš’e gu tuvà zəjrè","","","","imperfect","n'èməš'e, gu, tuvà, zəjrè","12931, 11923, 15947, 16167","",""
"tə gi kàrəne","76268","","1.obj.pron.","","","","","Brŭšljan 1: 89","16162","","","tə gi kàrəne","","","","imperfect","tə, gi, kàrəne","9032, 1152, 16161","",""
"mu vìkəme","76267","","1.obj.pron.","","","","","Brŭšljan 1: 87","16153","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"mu vìkəme","76266","","1.obj.pron.","","","","","Brŭšljan 1: 85","16144","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"si lež’àə","76265","","","","","","","Brŭšljan 1: 82","16134","","","si lež’àə","reflexive","","","imperfect","si, lež'àə","12879, 16132","",""
"četrì:se pedesè","76264","","","","","","","Brŭšljan 1: 82","16134","approx.num","","četrì:se pedesè","","","","","četrì:se, pedesè","16130, 16124","",""
"č’etirì:se pedesè","76263","","","","","","","Brŭšljan 1: 81","16129","approx.num","","č’etirì:se pedesè","","","","","č'etirì:se, pedesè","16123, 16124","",""
"š’e ìmə","76262","","","","","","","Brŭšljan 1: 80","16119","","","š’e ìmə","","","","future","š'e, ìmə","15245, 20313","",""
"gi pràjət","76261","","1.obj.pron.","","","","","Brŭšljan 1: 80","16119","","","gi pràjət","","","","present","gi, pràjət","1152, 16117","",""
"ne sɤ̀ kətu segà","76260","","","","","","","Brŭšljan 1: 79","16115","","neg-clit","ne sɤ̀ kətu segà","","","","present","ne, sɤ̀, kətu, segà","7850, 13344, 14674, 27542","predicate",""
"sə pràehə","76259","","","","","","","Brŭšljan 1: 78","16112","","","sə pràehə","reflexive","","","imperfect","sə, pràehə","19574, 16111","",""
"də ne gì fàštət","76258","","1.obj.pron.","","","","","Brŭšljan 1: 78","16112","","neg-clit","də ne gì fàštət","","","","present","də, ne, gi, fàštət","974, 7850, 18673, 16108","",""
"ud vɛ̀truvetu","76257","","","","","","","Brŭšljan 1: 78","16112","od+obj","","ud vɛ̀truvetu","","","","","ud, vɛ̀truvetu","5983, 16109","",""
"gi izbìrəhə","76256","","1.obj.pron.","","","","","Brŭšljan 1: 76","16100","","","gi izbìrəhə","","","","imperfect","gi, izbìrəhə","1152, 16094","",""
"sə izbìrəhə","76255","","","","","","","Brŭšljan 1: 75","16096","","","sə izbìrəhə","reflexive","","","imperfect","sə, izbìrəhə","19574, 16094","",""
"sə pràvehə","76254","","","","","","","Brŭšljan 1: 75","16096","","","sə pràvehə","reflexive","","","imperfect","sə, pràvehə","19574, 16092","",""
"sə prài","76253","","","","","","","Brŭšljan 1: 71","16086","","","sə prài","reflexive","","","present","sə, prài","19574, 14792","",""
"jə pràine","76252","","1.obj.pron.","","","","","Brŭšljan 1: 66","16064","","","jə pràine","","","","present","jə, pràine","14297, 16059","",""
"nè e gàjdə","76251","","","","","","","Brŭšljan 1: 62","16050","","neg-clit","nè e gàjdə","","","","present","nè, e, gàjdə","12294, 987, 16121","predicate",""
"sme bilì","76250","","","","","","","Brŭšljan 1: 59","16035","","","sme bilì","","","","perfect","sme, bilì","12768, 23011","",""
"də sə zəwəvl’àvə","76249","","","","","","","Brŭšljan 1: 58","15956","","","də sə zəwəvl’àvə","reflexive","","","present","də, sə, zəwəvl'àvə","974, 19574, 15955","",""
"tə si turulìkə","76247","","","","","","","Brŭšljan 1: 58","15956","","","tə si turulìkə","reflexive","","","present","tə, si, turulìkə","9032, 12879, 15953","",""
"də se kàž’e","76246","","","","","","","Brŭšljan 1: 57","16750","","","də se kàž’e","reflexive","","","present","də, se, kàž'e","974, 12409, 15847","",""
"nè e n’àkujə","76245","","","","","","","Brŭšljan 1: 56","15951","","neg-clit","nè e n’àkujə","","","","present","nè, e, n'àkujə","12294, 987, 31824","predicate",""
"mu dùməme","76244","","1.obj.pron.","","","","","Brŭšljan 1: 49","15928","","","mu dùməme","","","","present","mu, dùməme","19054, 15926","",""
"mu vìkəme","76243","","1.obj.pron.","","","","","Brŭšljan 1: 49","15928","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"mu vìkəme","76242","","1.obj.pron.","","","","","Brŭšljan 1: 45","15911","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15909","",""
"də sə ubrəzùvə","76241","","","","","","","Brŭšljan 1: 40","15894","","","də sə ubrəzùvə","reflexive","","","present","də, sə, ubrəzùvə","974, 19574, 15890","",""
"gu vərš’àhə","76240","","1.obj.pron.","","","","","Brŭšljan 1: 36","15879","","","gu vərš’àhə","","","","imperfect","gu, vərš'àhə","11915, 15878","",""
"mu vìkəme","76239","","1.obj.pron.","","","","","Brŭšljan 1: 35","15873","","","mu vìkəme","","","","present","mu, vìkəme","19054, 15868","",""
"š’e sì vəf pul’evɤ̀svutu","76238","","","","","","","Brŭšljan 1: 34","15866","","","š’e sì vəf pul’evɤ̀svutu","","","","future","š'e, sì, vəf, pul'evɤ̀svutu","15245, 25335, 15211, 15864","predicate",""
"š’e̥ si̥ ufč’àr’","76237","","","","","","","Brŭšljan 1: 34","15866","","","š’e̥ si̥ ufč’àr’","","","","future","š'e̥, si̥, ufč'àr'","15861, 15862, 15168","predicate",""
"xrànexə gi","76236","","1.obj.pron.","","","","","Brŭšljan 1: 30","15848","","","xrànexə gi","","","","imperfect","xrànexə, gi","15844, 1152","",""
"xrànexə gi","76235","","1.obj.pron.","","","","","Brŭšljan 1: 31","15853","","","xrànexə gi","","","","imperfect","xrànexə, gi","15844, 1152","",""
"se zənimàvəhə","76234","","","","","","","Brŭšljan 1: 29","15841","","","se zənimàvəhə","reflexive","","","imperfect","se, zənimàvəhə","12409, 15839","",""
" si ìməš’e","76233","","","","","","","Brŭšljan 1: 28","15837","",""," si ìməš’e","reflexive","","","imperfect","si, ìməš'e","12879, 15835","",""
"nè səm gl’èdəl","76232","","","","","","","Brŭšljan 1: 26","15323","","neg-clit","nè səm gl’èdəl","","","","perfect","nè, səm, gl'èdəl","12294, 15321, 15322","",""
"dujàhne gi","76231","","1.obj.pron.","","","","","Brŭšljan 1: 22","15304","","","dujàhne gi","","","","imperfect","dujàhne, gi","15298, 1152","",""
"št’ɛše də i dukàrə","76229","","1.obj.pron.","","","","","Brŭšljan 1: 21","15297","","","št’ɛše də i dukàrə","","","","fut.in.past","št'ɛ̀še, də, i, dukàrə","15293, 974, 23110, 15295","",""
"gi del’ɛne","76228","","1.obj.pron.","","","","","Brŭšljan 1: 19","15283","","","gi del’ɛne","","","","imperfect","gi, del'ɛ̀ne","1152, 15282","",""
"se dəržɤt","76227","","","","","","","Brŭšljan 1: 17","15268","","","se dəržɤt","reflexive","","","present","se, dəržɤ̀t","12409, 15266","",""
"gi puštəhne","76226","","1.obj.pron.","","","","","Brŭšljan 1: 17","15268","","","gi puštəhne","","","","imperfect","gi, pùštəhne","1152, 15263","",""
"š’e dəd’em","76225","","","","","","","Brŭšljan 1: 15","15259","","","š’e dəd’em","","","","future","š'e, dəd'èm","15245, 15256","",""
"š’e udlɤ̀č’ime","76224","","","","","","","Brŭšljan 1: 15","15259","","","š’e udlɤ̀č’ime","","","","future","š'e, udlɤ̀č'ime","15245, 15253","",""
"im ər’èsvə","76222","","1.obj.pron.","","","","","Bangejci 2: 9","19718","","","im ər’èsvə","","","","present","im, ər'èsvə","16285, 19715","",""
"š’e i nəxranime","76221","","1.obj.pron.","","","","","Brŭšljan 1: 14","15252","","","š’e i nəxranime","","","","future","š'e, i, nəxrànime","15245, 23110, 15251","",""
"š’e gi nəxranime","76220","","1.obj.pron.","","","","","Brŭšljan 1: 14","15252","","","š’e gi nəxranime","","","","future","š'e, gi, nəxrànime","15245, 1152, 15251","",""
